"YEAR","JURISDICTION","Sum(FINES)"
2008,"ACT",2060
2008,"NSW",631290
2008,"NT",24536
2008,"QLD",531385
2008,"SA",130911
2008,"TAS",66742
2008,"VIC",1163775
2008,"WA",244779
2009,"ACT",1890
2009,"NSW",554783
2009,"NT",20999
2009,"QLD",509222
2009,"SA",121843
2009,"TAS",73433
2009,"VIC",1189691
2009,"WA",269662
2010,"ACT",61112
2010,"NSW",441850
2010,"NT",27773
2010,"QLD",473635
2010,"SA",105474
2010,"TAS",41111
2010,"VIC",1227188
2010,"WA",312049
2011,"ACT",59003
2011,"NSW",436363
2011,"NT",25362
2011,"QLD",619103
2011,"SA",75261
2011,"TAS",27668
2011,"VIC",1204185
2011,"WA",569037
2012,"ACT",55923
2012,"NSW",475486
2012,"NT",28452
2012,"QLD",682227
2012,"SA",66396
2012,"TAS",9551
2012,"VIC",1246534
2012,"WA",606568
2013,"ACT",53304
2013,"NSW",460418
2013,"NT",25594
2013,"QLD",790903
2013,"SA",86951
2013,"TAS",10431
2013,"VIC",1068438
2013,"WA",558054
2014,"ACT",46235
2014,"NSW",503417
2014,"NT",23388
2014,"QLD",1029158
2014,"SA",112448
2014,"TAS",12506
2014,"VIC",1349372
2014,"WA",725895
2015,"ACT",51513
2015,"NSW",524560
2015,"NT",25420
2015,"QLD",1099670
2015,"SA",97728
2015,"TAS",18493
2015,"VIC",1339799
2015,"WA",768942
2016,"ACT",56870
2016,"NSW",533594
2016,"NT",22774
2016,"QLD",676518
2016,"SA",194009
2016,"TAS",19168
2016,"VIC",1294567
2016,"WA",582880
2017,"ACT",54212
2017,"NSW",795927
2017,"NT",23102
2017,"QLD",748760
2017,"SA",174056
2017,"TAS",15833
2017,"VIC",1249473
2017,"WA",778210
2018,"ACT",68045
2018,"NSW",740595
2018,"NT",40871
2018,"QLD",1043040
2018,"SA",188111
2018,"TAS",11223
2018,"VIC",1646618
2018,"WA",712848
2019,"ACT",60602
2019,"NSW",703611
2019,"NT",43781
2019,"QLD",1062369
2019,"SA",214867
2019,"TAS",9093
2019,"VIC",1053208
2019,"WA",699315
2020,"ACT",58567
2020,"NSW",1078761
2020,"NT",43412
2020,"QLD",921789
2020,"SA",185497
2020,"TAS",44049
2020,"VIC",966180
2020,"WA",706279
2021,"ACT",114411
2021,"NSW",1636304
2021,"NT",40080
2021,"QLD",1007870
2021,"SA",210176
2021,"TAS",42685
2021,"VIC",1253576
2021,"WA",816309
2022,"ACT",415
2022,"NSW",1435015
2022,"NT",35110
2022,"QLD",1026965
2022,"SA",193825
2022,"TAS",45600
2022,"VIC",1405151
2022,"WA",852073
2023,"ACT",72584
2023,"NSW",1115630
2023,"NT",44666
2023,"QLD",1006149
2023,"SA",219314
2023,"TAS",69772
2023,"VIC",1391859
2023,"WA",814913
2024,"ACT",96329
2024,"NSW",1157994
2024,"NT",49714
2024,"QLD",934882
2024,"SA",198326
2024,"TAS",82166
2024,"VIC",888839
2024,"WA",480474
